Date,AAPL,GOOGL,IBM,JPM,MSFT,TSLA
2021-06-11,124.62711334228516,120.78561401367188,121.97260284423828,144.01132202148438,249.47308349609375,203.29666137695312
2021-06-14,127.6902084350586,121.71554565429688,120.96478271484375,141.56761169433594,251.4077911376953,205.89666748046875
2021-06-15,126.86817169189453,120.69564056396484,120.424560546875,139.42030334472656,249.927734375,199.7866668701172
2021-06-16,127.36725616455078,120.0525131225586,119.19096374511719,140.39962768554688,248.97972106933594,201.6233367919922
2021-06-17,128.97216796875,121.01770782470703,117.39299011230469,136.34764099121094,252.38479614257812,205.53334045410156
2021-06-18,127.67066192626953,119.39495086669922,115.39341735839844,132.8976287841797,250.96278381347656,207.77000427246094
2021-06-21,129.47128295898438,121.0863037109375,118.23957824707031,135.15269470214844,254.05836486816406,206.94332885742188
2021-06-22,131.11537170410156,121.6012191772461,118.00575256347656,134.95504760742188,256.8443603515625,207.90333557128906
2021-06-23,130.8413543701172,121.39894104003906,116.59475708007812,135.77264404296875,256.6121826171875,218.85667419433594
2021-06-24,130.55755615234375,121.76970672607422,117.26399993896484,137.021484375,257.98590087890625,226.60667419433594
2021-06-25,130.2639617919922,121.77815246582031,118.39279174804688,138.4051055908203,256.3703918457031,223.9566650390625
2021-06-28,131.89830017089844,121.80548858642578,117.14301300048828,138.6566619873047,259.9495849609375,229.57333374023438
2021-06-29,133.4151153564453,121.54357147216797,117.35265350341797,138.48593139648438,262.5421142578125,226.9199981689453
2021-06-30,134.03163146972656,121.36164855957031,118.1911849975586,139.7437744140625,262.0584716796875,226.56666564941406
2021-07-01,134.3350372314453,121.71454620361328,118.39279174804688,141.12733459472656,262.73565673828125,225.97332763671875
2021-07-02,136.96749877929688,124.5107650756836,112.89398956298828,140.99183654785156,268.588134765625,226.3000030517578
2021-07-06,138.9834747314453,125.43771362304688,111.89422607421875,138.62432861328125,268.5978698730469,219.86000061035156
2021-07-07,141.47894287109375,125.72000885009766,112.73274230957031,138.7869873046875,270.79376220703125,214.88333129882812
2021-07-08,140.17739868164062,124.29853820800781,113.47450256347656,136.39236450195312,268.3656311035156,217.60333251953125
2021-07-09,142.0073699951172,124.77021026611328,114.10340118408203,140.75686645507812,268.86871337890625,218.98333740234375
2021-07-12,141.41043090820312,126.2185287475586,113.61963653564453,142.77195739746094,268.2689514160156,228.56666564941406
2021-07-13,142.52601623535156,126.58233642578125,113.10362243652344,140.64845275878906,271.8094482421875,222.84666442871094
2021-07-14,145.9609832763672,127.47250366210938,112.73274230957031,140.1695098876953,273.28955078125,217.7933349609375
2021-07-15,145.30535888671875,126.24783325195312,113.24068450927734,140.4767608642578,271.8578186035156,216.86666870117188
2021-07-16,143.26002502441406,126.21305847167969,111.99097442626953,137.26889038085938,271.5870056152344,214.74000549316406
2021-07-19,139.4042510986328,123.83531951904297,111.2008285522461,132.8050079345703,267.9690246582031,215.4066619873047
2021-07-20,143.02513122558594,125.45709228515625,112.85366821289062,135.2809600830078,270.20367431640625,220.1666717529297
2021-07-21,142.29119873046875,126.78861236572266,113.9260025024414,138.12734985351562,272.2156982421875,218.42999267578125
2021-07-22,143.66128540039062,127.65589141845703,113.45030212402344,136.38333129882812,276.8010559082031,216.4199981689453
2021-07-23,145.38365173339844,132.22201538085938,113.9582748413086,136.12132263183594,280.21588134765625,214.4600067138672
2021-07-26,145.804443359375,133.23594665527344,115.11125183105469,137.03395080566406,279.6160888671875,219.2066650390625
2021-07-27,143.6319122314453,131.11366271972656,115.09510040283203,136.85321044921875,277.1879577636719,214.92666625976562
2021-07-28,141.8801727294922,135.2826690673828,114.30497741699219,137.07913208007812,276.87841796875,215.66000366210938
2021-07-29,142.52601623535156,134.96804809570312,114.43399047851562,138.25384521484375,277.1492919921875,225.78334045410156
2021-07-30,142.7413787841797,133.92332458496094,113.6518783569336,137.15142822265625,275.6112060546875,229.06666564941406
2021-08-02,142.40866088867188,134.05055236816406,114.02277374267578,136.6002197265625,275.524169921875,236.55667114257812
2021-08-03,144.2093048095703,134.82144165039062,116.15938568115234,138.15444946289062,277.74908447265625,236.5800018310547
2021-08-04,143.80807495117188,134.3199462890625,115.10317993164062,136.66348266601562,277.1590270996094,236.97332763671875
2021-08-05,143.9156951904297,135.43922424316406,115.11125183105469,138.38937377929688,280.0707092285156,238.2100067138672
2021-08-06,143.22964477539062,134.9292755126953,116.17552185058594,142.3201141357422,280.0126647949219,233.03334045410156
2021-08-09,143.18063354492188,136.09677124023438,115.19684600830078,142.16651916503906,278.9196472167969,237.9199981689453
2021-08-10,142.70040893554688,135.99142456054688,115.30287170410156,143.9104766845703,277.09130859375,236.663330078125
2021-08-11,142.9552001953125,135.46656799316406,115.91455078125,145.62738037109375,277.58465576171875,235.94000244140625
2021-08-12,145.92489624023438,136.3760986328125,116.68115234375,146.1966552734375,280.3512878417969,240.75
2021-08-13,146.1306915283203,136.90643310546875,116.77088928222656,144.5611114501953,283.2921142578125,239.05667114257812
2021-08-16,148.11050415039062,137.48495483398438,117.10523986816406,143.61228942871094,284.9849548339844,228.72332763671875
2021-08-17,147.19900512695312,135.84678649902344,116.15106201171875,141.8773651123047,283.5144958496094,221.90333557128906
2021-08-18,143.44525146484375,134.6415252685547,113.74518585205078,140.58517456054688,281.7796936035156,229.663330078125
2021-08-19,143.7784881591797,134.8711395263672,112.5626220703125,139.41049194335938,287.6336669921875,224.49000549316406
2021-08-20,145.2388458251953,136.61021423339844,113.45158386230469,139.80807495117188,294.99005126953125,226.75332641601562
2021-08-23,146.7285614013672,139.20664978027344,113.86750030517578,141.59725952148438,295.2711486816406,235.43333435058594
2021-08-24,146.64035034179688,140.41934204101562,114.04692077636719,142.4737548828125,293.3035888671875,236.163330078125
2021-08-25,145.40545654296875,141.2319793701172,114.063232421875,145.4105224609375,292.71246337890625,237.06666564941406
2021-08-26,144.60177612304688,140.5972900390625,113.18244934082031,146.1605224609375,289.8822326660156,233.72000122070312
2021-08-27,145.64068603515625,143.14549255371094,113.69622802734375,147.3352508544922,290.4929504394531,237.30667114257812
2021-08-30,150.07066345214844,143.728515625,113.3373794555664,144.97679138183594,294.2438049316406,243.6366729736328
